Name	OneLetterAbbr.	MonoisotopicMass	ChemicalFormula
Alanine	A	71.03711378515	C3H5NO
Cysteine	C	103.00918495955	C3H5NOS
Aspartic Acid	D	115.02694302429	C4H5NO3
Glutamic Acid	E	129.04259308875	C5H7NO3
Phenylalanine	F	147.06841391407002	C9H9NO
Glycine	G	57.021463720689994	C2H3NO
Histidine	H	137.05891185847	C6H7N3O
Isoleucine	I	113.08406397853	C6H11NO
Lysine	K	128.09496301519	C6H12N2O
Leucine	L	113.08406397853	C6H11NO
Methionine	M	131.04048508847	C5H9NOS
Asparagine	N	114.04292744137999	C4H6N2O2
Pyrrolysine	O	237.14772686479998	C12H19N3O2
Proline	P	97.05276384961	C5H7NO
Glutamine	Q	128.05857750584	C5H8N2O2
Arginine	R	156.10111102405	C6H12N4O
Serine	S	87.03202840472	C3H5NO2
Threonine	T	101.04767846918	C4H7NO2
Selenocysteine	U	150.95363558514998	C3H5NOSe
Valine	V	99.06841391407	C5H9NO
Tryptophan	W	186.07931295073	C11H10N2O
Tyrosine	Y	163.06332853364	C9H9NO2
